,Company name Latin alphabet,"NACE Rev. 2, core code (4 digits)",Last avail. year,"Operating revenue (Turnover)
th USD Last avail. yr","Number of employees
Last avail. yr","Operating revenue (Turnover)
m EUR Last avail. yr","Operating revenue (Turnover)
m USD Last avail. yr","Operating revenue (Turnover)
m EUR Year - 1","Operating revenue (Turnover)
m EUR Year - 2","Number of employees
Last avail. yr","Number of employees
Year - 1","Number of employees
Year - 2","EBITDA
th EUR Last avail. yr","EBITDA
th EUR Year - 1","EBITDA
th EUR Year - 2","EBITDA
th USD Year - 2","Operating profit (loss) [EBIT]
th EUR Last avail. yr","Operating profit (loss) [EBIT]
th EUR Year - 1","Operating profit (loss) [EBIT]
th EUR Year - 2",Entity type,"Geographic segment - Sales
m EUR","Geographic segment - Sales
m USD","Export revenue
th EUR Last avail. yr","Export revenue
th USD Last avail. yr","Export revenue
th EUR Year - 1","Export revenue
th USD Year - 1","Export revenue
th EUR Year - 2","Export revenue
th USD Year - 2","Export revenue / Operating revenue
Last avail. yr","Export revenue / Operating revenue
Year - 1","Export revenue / Operating revenue
Year - 2"
65.,HODOWLA I UBOJ INDYKA BODAMA SP. Z O.O.,1012,2024,"92,393",250,89,92,94,114,250,274,277,"7,003","2,392","15,739","16,787","5,897","1,302","14,803",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
66.,GENERALFRIGO SRL,1011,2024,"92,244",25,89,92,84,69,25,23,23,"2,127","2,483","2,176","2,321","1,368","1,746","1,345",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
67.,AVICOLA HIDALGO SL.,1012,2024,"92,053",354,89,92,74,58,354,192,196,"6,310","5,325","2,983","3,182","4,934","4,102","2,180",Single location,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
68.,PMJ FOODS UK LTD.,1012,2024,"91,834",48,88,92,70,69,48,45,39,-119,"1,019",963,"1,027",-694,455,633,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
69.,"CARMONTI - INDUSTRIA DE CARNES DO MONTIJO, S.A.",1011,2024,"91,520",203,88,92,80,71,203,203,208,"7,986","6,810","5,857","6,247","6,483","5,022","3,997",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
70.,ROCA 1927 SL.,1011,2024,"91,309",99,88,91,74,64,99,88,79,"2,935","1,560","1,812","1,933","1,904",686,"1,058",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
71.,HKFOODS POLAND SP. Z O.O.,1011,2024,"91,169",184,88,91,85,79,184,200,212,"5,900","6,188","3,773","4,024","4,677","5,184","3,063",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
72.,OVINOS MANCHEGOS SL,1011,2024,"90,653",182,87,91,79,75,182,165,173,"4,273","2,391","1,865","1,989","3,751","1,969","1,466",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
73.,C & J MEATS LIMITED,1011,2023,"90,589",58,83,91,80,69,58,58,58,"2,120","1,183","1,449","1,646","1,847",842,"1,082",Independent co,n.a.,n.a.,"41,555","45,424","37,146","38,542","26,193","29,763",50.14,46.43,37.88
74.,WOOLLEY BROS. (WHOLESALE MEATS) LIMITED,1011,2024,"90,564",132,87,91,72,74,132,119,106,277,"-1,241","4,003","4,270",-592,"-1,565","3,710",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
